,가수이름,노래제목
0,정국,Seven (feat. Latto) - Clean Ver.
1,NewJeans,Super Shy
2,NewJeans,ETA
3,박재정,헤어지자 말해요
4,(여자)아이들,퀸카 (Queencard)
5,IVE (아이브),I AM
6,임영웅,모래 알갱이
7,우디 (Woody),사막에서 꽃을 피우듯
8,Lauv,Steal The Show (From “엘리멘탈”)
9,임영웅,사랑은 늘 도망가
10,전소미,Fast Forward
11,aespa,Spicy
12,임영웅,우리들의 블루스
13,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
14,NewJeans,New Jeans
15,NewJeans,Hype boy
16,임영웅,다시 만날 수 있을까
17,정국,Still With You
18,임영웅,무지개
19,임영웅,이제 나만 믿어요
20,임영웅,London Boy
21,임영웅,아버지
22,IVE (아이브),Kitsch
23,임영웅,Polaroid
24,NewJeans,Ditto
25,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
26,임영웅,인생찬가
27,임영웅,A bientot
28,임영웅,손이 참 곱던 그대
29,임영웅,사랑해 진짜
30,Paul Blanco,Summer (Feat. BE’O (비오))
31,임영웅,연애편지
32,AKMU (악뮤),Love Lee
33,방탄소년단,Dynamite
34,NewJeans,Attention
35,세븐틴 (SEVENTEEN),손오공
36,NewJeans,OMG
37,NewJeans,Cool With You
38,임영웅,보금자리
39,방탄소년단,Take Two
40,IVE (아이브),After LIKE
41,윤하 (YOUNHA),사건의 지평선
42,V,Love Me Again
43,Charlie Puth,I Don't Think That I Like Her
44,IVE (아이브),LOVE DIVE
45,지수 (JISOO),꽃
46,ITZY (있지),CAKE
47,방탄소년단,봄날
48,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
49,STAYC(스테이씨),Bubble
50,지민,Like Crazy
51,Charlie Puth,Dangerously
52,이세계아이돌,KIDDING
53,STAYC(스테이씨),Teddy Bear
54,방탄소년단,Butter
55,DK(디셈버),심(心)
56,"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)
57,Agust D,사람 Pt.2 (feat. 아이유)
58,NCT DREAM,ISTJ
59,임한별,사랑하지 않아서 그랬어
60,AKMU (악뮤),후라이의 꿈
61,성시경,너의 모든 순간
62,탑현,나에게 그대만이
63,NCT DREAM,Candy
64,멜로망스,사랑인가 봐
65,이무진,잠깐 시간 될까
66,허각,물론
67,FIFTY FIFTY,Cupid
68,오마이걸 (OH MY GIRL),여름이 들려 (Summer Comes)
69,LE SSERAFIM (르세라핌),ANTIFRAGILE
70,방탄소년단,Permission to Dance
71,V,Rainy Days
72,케이시 (Kassy),사실말야내가말야그게그러니까말이야
73,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
74,NewJeans,ASAP
75,(여자)아이들,Allergy
76,"j-hope, J. Cole",on the street (with J. Cole)
77,지아,사랑..그게 뭔데
78,김호중,그중에 그대를 만나
79,경서,첫 키스에 내 심장은 120BPM
80,우효,민들레 (single ver.)
81,제이세라,사랑의 바보
82,"The Kid LAROI, Justin Bieber",STAY
83,김민석 (멜로망스),취중고백
84,NCT DREAM,Broken Melodies
85,#안녕,해요 (2022)
86,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
87,ZEROBASEONE (제로베이스원),In Bloom
88,"경서예지, 전건호",다정히 내 이름을 부르면
89,IVE (아이브),I WANT
90,Charlie Puth,That's Hilarious
91,(여자)아이들,TOMBOY
92,이세계아이돌,LOCKDOWN
93,임재현,Heaven(2023)
94,"김연지, DK(디셈버)",미친 사랑의 노래
95,NCT DREAM,Yogurt Shake
96,Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
97,던 (DAWN),빛이 나는 너에게
98,(여자)아이들,Nxde
99,테이,Monologue
