,review_lst
0,아이들 여름 이불을 바꾸려고 겅색중 알게되어 구입했는데 신랑이 탐을 내어 하나더 구입 했네요. 촉감도 양면으로 부트러운면콰 시윈한 냉감이 있어 좋네요. 여름 이불로 적극 추천입니다(2020-08-07 14:26:40 에 등록된 네이버 페이 구매평)
1,주말부부라 신랑이 원룸에서 사용중인데너무 좋다고아들것도 주문해주라고 난리랍니다..평소 불면증을 호소하며..힘들어했는데요즘은 그런 불평이 사라졌어요^^
2,신랑이 피부가 예민해서 피부과 약을 장기적으로 복용즁이에요  다른 이불은 피부가 긁혀 힘들어 했는데 바디럽 쓰고는 신세계라고 해여~ 감사해용! 제품 굿 세상 시원합니다!!
3,아이보리했구요 너무 화이트 아니라서 좋아요 아늑한 느낌이구요 배게커버도 양면이 달라서 좋고 특히 매트는 시원해요 요즘 잠을 제대로 못자는데 이거 깔고 잘잤어요 추천 네이버에 사진리뷰 처음올림 알려드리고싶어서(2022-06-25 13:05:51 에 등록된 네이버 페이 구매평)
4,"아이보리 싱글이 품절이라 기다렸다가 드디어 받았어요!!왜 진작 안샀을까 싶을만큼 매트와 이불 만족도 넘 높아요.이불 너무 부드럽고 가벼워요.매트는 방수가 되서 물을 쏟아도 걱정없구요, 땀 흘려도 몸에 붙지 않아 좋아요.마약 베개도 구매하러 갑니다ㅎㅎ"
5,배송 빨라서 바로 받았어요새탁하고 처음 깔아보았어요촉감이 정말 부드럽고 차가운 느낌이 있어서 첫느낌만으로도 매트리스와 가족들 이불도 고민되네요. ^^
6,양쪽을 다르천으로 만드신거 대박~ 내가좋아하는 느낌쪽을 베고 자면 굿~~(2021-07-03 01:14:04 에 등록된 네이버 페이 구매평)
7,"아이가땀이많은아이인데우선누웠을때너무시원하다고좋아하고,촉감이부드러워서너무좋아해요가벼우면서도 선풍기바람에쉽게날리지않아서배가아플일도없어서좋네요"
8,부드럽게 감기는 이불 시원한 느낌의 매트괜찮은거 같내요
9,"바디럽에서 맨처음마약 토퍼, 쿨이불, 샤워기 등등 이렇게 구매해서 잘 사용하고 있었는데이번 여름 너무 더워 견딜 수 없어쿨 패드도 구매해봤어요!!기존에 쿨이불이 그레이 색이라 쿨그레이로 구매했구요색상은 쏘쿨그레이네여?!ㅎㅎ재질는 쿨이불 소재랑 비슷한데 내부 재질이 메쉬소재 맞나여 그 왜 구멍송송 모양에 바람 슝슝 통하는!?그런 느낌이라 그런지 쿨링이 더 잘 유지 되는것 같아요기존 쿨이불은 보풀도 심하고 처음에만 쿨링이 좋고 (제가 열이많아서) 조금 있으면 이불이  제 열을 흡수 하느라 뜨거워지더라구여 ㅋㅋㅋㅋ근데 쿨 패드는 그런거 없이 열을 갖고 있지 않고송송 너무 시원해요🤍이번 여름 너무 덥고 해서 아빠도 세트로 선물해드릴거에요.+🔥🔥🔥🔥🔥아 그리고 한 가지 아쉬운게 있다면킹 사이즈도 나왔으면 좋겠어요ㅠㅠㅠ🔥🔥🔥🔥🔥"
